Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
Kingdom of Lesotho,4.206572769953052e-05,0.00025579545454545457,0.020395896103896104,0.0006886510263929619,0.0010754178674351586,0.001785249343832021,0.016309114583333333,0.02007916230366492,0.060631352410799484
Kingdom of Morocco,0.002423479381443299,8.815508021390374e-05,0.01881568831168831,0.0003374931129476584,0.0017427319587628865,0.00224409793814433,0.01619395833333333,0.015718534031413614,0.057564138147947336
Kingdom of Norway,0.0009826030927835051,5.0643564356435644e-05,0.005987688311688312,0.00048134986225895315,0.00024394179894179894,0.0006620876288659794,0.0034019270833333336,0.012164345549738219,0.023974586891966534
Kingdom of Saudi Arabia,0.0011632731958762885,7.786096256684492e-05,0.009934415584415584,0.000541763085399449,0.0007224484536082474,0.0017033247422680413,0.0077616927083333336,0.011697146596858637,0.033601925329326425
Kingdom of Spain,0.004819587628865979,5.1657754010695186e-05,0.00950361038961039,0.0007900550964187327,0.002842474226804124,0.0009359278350515465,0.006513307291666667,0.013747722513089004,0.039204342735517136
Kingdom of Sweden,0.0017815463917525772,2.8299711815561963e-05,0.00513264935064935,0.00040460055096418733,0.00025456185567010307,0.0005980927835051546,0.003319322916666667,0.010341387434554974,0.021860460995578576
Kingdom of Thailand,0.0057175257731958765,0.00027842245989304813,0.01330412987012987,0.00039741046831955924,0.001479536082474227,0.004404639175257732,0.009481223958333333,0.010841178010471204,0.04590406579807485
Kingdom of Tonga,0.00031047619047619044,,,,,,,,0.00031047619047619044
Kingdom of the Netherlands,0.0619715206185567,2.7085561497326203e-05,0.0038974025974025973,0.0003920936639118458,0.00038873711340206183,0.0008549226804123711,0.0026805208333333334,0.007621230366492146,0.07783351343500838
Kyrgyz Republic,0.0011760723514211886,8.77049180327869e-05,0.020929974025974026,0.00013303030303030302,0.00032767015706806283,0.001878298969072165,0.016707473958333333,0.012246701570680628,0.053486926253612496
Lao People's Democratic Republic,0.0003520876288659794,0.00016565459610027856,0.02577953246753247,0.00039139275766016715,0.00031678362573099415,0.008129587628865979,0.017382630208333333,0.012613743455497383,0.06513141236858658
Lebanese Republic,0.0002134020618556701,7.966386554621849e-05,0.014570129870129869,0.0002495316804407714,0.002795541237113402,0.0024992268041237114,0.01192625,0.012529371727748692,0.04486311724695834
Macao Special Administrative Region of the People's Republic of China,7.441926345609065e-05,0.00012461538461538464,0.011005324675324675,0.0005680716253443527,0.0018873670212765958,0.002024484536082474,0.007811302083333333,0.017068612565445025,0.040564197154877926
Malaysia,0.00960659793814433,6.328877005347594e-05,0.009098753246753246,0.00040787878787878785,0.002693943298969072,0.002623582474226804,0.0075886458333333335,0.01395609947643979,0.04603878982579884
Martinique,6.090909090909091e-05,0.0001394736842105263,0.006332805194805195,0.0011018181818181817,0.00017804687499999998,0.00018689265536723162,0.004997786458333333,0.010876596858638744,0.0238743289990823
Mongolia,0.00010149456521739131,7.444099378881988e-05,0.021485818181818182,0.0002559228650137741,0.0004872606382978724,0.004106958762886598,0.01568565104166667,0.020382774869109947,0.06258032191779925
Montenegro,0.0008184415584415585,0.00016333333333333334,0.012279376623376623,0.00017501492537313432,0.0028338242894056847,0.0013420876288659795,0.007968046875,0.015426178010471204,0.04100630324426752
Montserrat,1.5000000000000002e-05,,,,,,,,1.5000000000000002e-05
Most Serene Republic of San Marino,3.4e-05,0.00045142857142857143,0.019392727272727273,0.0007779041916167665,0.00547941504178273,0.0007380836236933798,0.012642630208333333,0.012704554973821988,0.05222074388340404
"Nation of Brunei, Abode of Peace",6.72594752186589e-05,0.00018596153846153846,0.009488311688311688,0.0004796764705882353,0.0012766852367688023,0.0011760567010309277,0.007413020833333333,0.022430104712041887,0.04251707665575507
